date,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover
2025-05-06,1.109,1.109,1.11,1.102,3644964,403093302.0,0.72,0.0,0.0,1.31
2025-05-07,1.113,1.118,1.118,1.11,2478784,276308338.0,0.72,0.81,0.009,0.89
2025-05-08,1.117,1.124,1.126,1.115,2688679,301796892.0,0.98,0.54,0.006,0.97
2025-05-09,1.123,1.132,1.134,1.122,3414349,386439816.0,1.07,0.71,0.008,1.23
2025-05-12,1.132,1.133,1.138,1.128,3641030,412591271.0,0.88,0.09,0.001,1.31
2025-05-13,1.134,1.144,1.145,1.131,2903447,331133098.0,1.24,0.97,0.011,1.05
2025-05-14,1.144,1.152,1.154,1.139,3371641,387159210.0,1.31,0.7,0.008,1.22
2025-05-15,1.151,1.148,1.156,1.147,2961505,340519286.0,0.78,-0.35,-0.004,1.07
2025-05-16,1.146,1.14,1.148,1.135,2708058,308510581.0,1.13,-0.7,-0.008,0.98
2025-05-19,1.139,1.142,1.147,1.138,1927285,220324051.0,0.79,0.18,0.002,0.69
2025-05-20,1.143,1.147,1.15,1.143,2413843,276778193.0,0.61,0.44,0.005,0.87
2025-05-21,1.147,1.155,1.157,1.146,2145223,247308946.0,0.96,0.7,0.008,0.77
2025-05-22,1.155,1.159,1.16,1.15,2312349,267547967.0,0.87,0.35,0.004,0.83
2025-05-23,1.159,1.15,1.166,1.15,3512245,406433828.0,1.38,-0.78,-0.009,1.27
2025-05-26,1.15,1.147,1.154,1.143,5154227,591438142.0,0.96,-0.26,-0.003,1.86
2025-05-27,1.148,1.149,1.152,1.145,2537202,291309152.0,0.61,0.17,0.002,0.91
2025-05-28,1.149,1.154,1.155,1.146,1860115,214337825.0,0.78,0.44,0.005,0.67
2025-05-29,1.154,1.152,1.157,1.15,4568498,526898101.0,0.61,-0.17,-0.002,1.65
2025-05-30,1.153,1.159,1.161,1.152,2741563,317425676.0,0.78,0.61,0.007,0.99
2025-06-03,1.157,1.169,1.171,1.155,2737945,319096218.0,1.38,0.86,0.01,0.99
2025-06-04,1.168,1.174,1.175,1.166,2275469,266483880.0,0.77,0.43,0.005,0.82
2025-06-05,1.174,1.165,1.176,1.164,7290635,851233852.0,1.02,-0.77,-0.009,2.63
2025-06-06,1.166,1.168,1.171,1.166,2281475,266368869.0,0.43,0.26,0.003,0.82
2025-06-09,1.169,1.169,1.17,1.161,5100966,594274788.0,0.77,0.09,0.001,1.84
2025-06-10,1.169,1.169,1.178,1.165,3009587,352846005.0,1.11,0.0,0.0,1.08
2025-06-11,1.169,1.173,1.174,1.169,1452589,170202245.0,0.43,0.34,0.004,0.52
2025-06-12,1.173,1.176,1.178,1.17,2143303,251984206.0,0.68,0.26,0.003,0.77
2025-06-13,1.176,1.169,1.179,1.166,7943733,929500830.0,1.11,-0.6,-0.007,2.86
